obecA;obecB;Periodicita dochadzky;POCET
501280;529346;1;1
501255;501140;1;3
501034;501026;2;3
501280;529371;2;3
580911;501522;2;4
501387;503665;2;2
501239;501336;1;3
501336;503665;2;1
501280;504025;1;2
501204;503592;2;1
501280;502987;2;1
501069;503011;2;1
501395;501310;2;3
501301;501425;2;4
501093;501387;2;1
501115;501280;1;1
501034;503762;1;1
501417;523381;2;1
501115;529371;1;3
501204;501697;2;1
501387;545333;2;1
501166;500011;2;1
501204;503703;2;1
501182;501204;2;5
555991;529320;1;7
501239;503011;1;3
501026;501085;1;3
501034;529354;1;1
501026;504009;1;4
501204;501760;2;1
501280;501310;1;1
501140;501115;2;3
501204;501964;2;1
501280;509248;2;1
501191;501531;1;1
501158;503185;2;1
501085;529320;1;2
555860;555851;1;5
501239;501115;2;2
500011;500992;1;11
501140;529460;2;1
545589;504017;1;2
555991;545589;1;12
580899;507253;2;3
501140;503568;2;1
500895;000000;2;21
545589;504025;2;14
500020;999999;1;3
501034;507741;1;1
500020;580899;2;4
500194;500194;2;13
555886;500992;2;1
500411;500062;2;1
500020;529320;2;7
580899;582387;2;3
555851;000000;2;9
556696;582719;1;1
580899;529371;2;1
500011;500232;2;1
500941;507741;1;1
555886;517402;1;1
500950;529320;2;6
500917;000000;2;35
500666;500933;2;2
500640;000000;1;65
555886;555860;2;1
555860;507741;1;1
500933;529320;2;11
500011;503011;2;13
500640;999999;2;6
558320;556696;1;1
500518;500968;2;2
582387;580899;2;3
545589;500135;1;1
500933;503452;1;1
500313;500968;1;2
500071;506745;1;1
500704;507130;1;1
500518;598186;2;1
500950;500453;1;1
500411;999999;2;14
500011;555860;2;2
500020;529371;1;2
500895;500917;1;1
500046;500046;2;7
500640;507032;1;3
500941;500933;1;3
500135;509850;2;1
500194;580899;1;1
